dataset,section,field,class,doc_id,doc_type,n_questions,n_documents,digital_documents,scanned_documents,unknown_scan_documents,Research report / Introduction,Academic paper,Guidebook,Tutorial/Workshop,Financial report,Brochure,Administration/Industry file
MMLongBench-Doc,summary,,,,,1091,135,,,,,,,,,,
MMLongBench-Doc,document,doc_type,Research report / Introduction,,,293,34,23,11,0,,,,,,,
MMLongBench-Doc,document,doc_type,Academic paper,,,204,26,26,0,0,,,,,,,
MMLongBench-Doc,document,doc_type,Guidebook,,,156,22,20,2,0,,,,,,,
MMLongBench-Doc,document,doc_type,Tutorial/Workshop,,,139,17,3,14,0,,,,,,,
MMLongBench-Doc,document,doc_type,Financial report,,,117,11,11,0,0,,,,,,,
MMLongBench-Doc,document,doc_type,Brochure,,,101,15,13,2,0,,,,,,,
MMLongBench-Doc,document,doc_type,Administration/Industry file,,,81,10,8,2,0,,,,,,,
MMLongBench-Doc,question,answer_format,Int,,,290,114,,,,,,,,,,
MMLongBench-Doc,question,answer_format,Str,,,250,113,,,,,,,,,,
MMLongBench-Doc,question,answer_format,None,,,244,112,,,,,,,,,,
MMLongBench-Doc,question,answer_format,Float,,,160,55,,,,,,,,,,
MMLongBench-Doc,question,answer_format,List,,,147,83,,,,,,,,,,
MMLongBench-Doc,question,evidence_sources,Pure-text (Plain-text),,,298,100,,,,78,53,44,32,25,23,43
MMLongBench-Doc,question,evidence_sources,Figure,,,293,96,,,,39,63,62,70,4,41,14
MMLongBench-Doc,question,evidence_sources,(none),,,254,112,,,,80,54,39,29,12,24,16
MMLongBench-Doc,question,evidence_sources,Table,,,218,82,,,,34,50,28,15,74,9,8
MMLongBench-Doc,question,evidence_sources,Chart,,,178,62,,,,123,28,3,13,5,5,1
MMLongBench-Doc,question,evidence_sources,Generalized-text (Layout),,,119,59,,,,32,11,23,14,0,28,11
MMLongBench-Doc,document_questions,doc_id,germanwingsdigitalcrisisanalysis-150403064828-conversion-gate01_95.pdf,germanwingsdigitalcrisisanalysis-150403064828-conversion-gate01_95.pdf,Research report / Introduction,16,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95.pdf,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95.pdf,Research report / Introduction,14,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,05-03-18-political-release.pdf,05-03-18-political-release.pdf,Research report / Introduction,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PIP_Seniors-and-Tech-Use_040314.pdf,PIP_Seniors-and-Tech-Use_040314.pdf,Research report / Introduction,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,earthlinkweb-150213112111-conversion-gate02_95.pdf,earthlinkweb-150213112111-conversion-gate02_95.pdf,Research report / Introduction,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,ecommerceopportunityindia-141124010546-conversion-gate01_95.pdf,ecommerceopportunityindia-141124010546-conversion-gate01_95.pdf,Research report / Introduction,12,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PG_2020.05.21_International-Cooperation-COVID_FINAL.pdf,PG_2020.05.21_International-Cooperation-COVID_FINAL.pdf,Research report / Introduction,11,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PP_2019.01.17_Trump-economy_FINAL2.pdf,PP_2019.01.17_Trump-economy_FINAL2.pdf,Research report / Introduction,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,dr-vorapptchapter1emissionsources-121120210508-phpapp02_95.pdf,dr-vorapptchapter1emissionsources-121120210508-phpapp02_95.pdf,Research report / Introduction,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,finalmediafindingspdf-141228031149-conversion-gate02_95.pdf,finalmediafindingspdf-141228031149-conversion-gate02_95.pdf,Research report / Introduction,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,reportq32015-151009093138-lva1-app6891_95.pdf,reportq32015-151009093138-lva1-app6891_95.pdf,Research report / Introduction,10,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,698bba535087fa9a7f9009e172a7f763.pdf,698bba535087fa9a7f9009e172a7f763.pdf,Research report / Introduction,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,8e7c4cb542ad160f80fb3d795ada35d8.pdf,8e7c4cb542ad160f80fb3d795ada35d8.pdf,Research report / Introduction,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,earlybird-110722143746-phpapp02_95.pdf,earlybird-110722143746-phpapp02_95.pdf,Research report / Introduction,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,nielsen2015musicbizpresentation-final-150526143534-lva1-app6891_95.pdf,nielsen2015musicbizpresentation-final-150526143534-lva1-app6891_95.pdf,Research report / Introduction,9,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,11-21-16-Updated-Post-Election-Release.pdf,11-21-16-Updated-Post-Election-Release.pdf,Research report / Introduction,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PI_2018.11.19_algorithms_FINAL.pdf,PI_2018.11.19_algorithms_FINAL.pdf,Research report / Introduction,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PP_2020.08.06_COVID-19-Restrictions_FINAL-1.pdf,PP_2020.08.06_COVID-19-Restrictions_FINAL-1.pdf,Research report / Introduction,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PS_2018.01.09_STEM_FINAL.pdf,PS_2018.01.09_STEM_FINAL.pdf,Research report / Introduction,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95.pdf,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95.pdf,Research report / Introduction,8,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PG_2020.03.09_US-Germany_FINAL.pdf,PG_2020.03.09_US-Germany_FINAL.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PG_2021.03.04_US-Views-on-China_FINAL.pdf,PG_2021.03.04_US-Views-on-China_FINAL.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PH_2016.06.08_Economy-Final.pdf,PH_2016.06.08_Economy-Final.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PI_2017.10.04_Automation_FINAL.pdf,PI_2017.10.04_Automation_FINAL.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,caltraincapacitymountainview1-150701205750-lva1-app6891_95.pdf,caltraincapacitymountainview1-150701205750-lva1-app6891_95.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,efd88e41c5f2606c57929cac6c1c0605.pdf,efd88e41c5f2606c57929cac6c1c0605.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,fdac8d1e9ef56519371df7e6532df27d.pdf,fdac8d1e9ef56519371df7e6532df27d.pdf,Research report / Introduction,7,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,12-15-15-ISIS-and-terrorism-release-final.pdf,12-15-15-ISIS-and-terrorism-release-final.pdf,Research report / Introduction,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,379f44022bb27aa53efd5d322c7b57bf.pdf,379f44022bb27aa53efd5d322c7b57bf.pdf,Research report / Introduction,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,Independents-Report.pdf,Independents-Report.pdf,Research report / Introduction,6,1,,,,,,,,,,
MMLongBench-Doc,document_questions,doc_id,PG_20.07.30_U.S.-Views-China_final.pdf,PG_20.07.30_U.S.-Views-China_final.pdf,Research report / Introduction,6,1,,,,,,,,,,
